station_id,place_name,latitude,longitude,timezone
1611347,"Port Allen, Hanapepe Bay, Kauai Island, HI",21.9033,-159.592,Pacific/Honolulu
1611400,"Nawiliwili, HI",21.9544,-159.3561,Pacific/Honolulu
1612340,"Honolulu, HI",21.30333333333334,-157.8645277777778,Pacific/Honolulu
1612366,"Fort Kamehameha, Bishop Point, Pearl Hbr, HI",21.33,-157.967,Pacific/Honolulu
1612401,"Pearl Harbor, HI",21.36750030517578,-157.96389770507812,Pacific/Honolulu
1612404,"Ford Island, Ferry Dock, Pearl Harbor, HI",21.3683,-157.94,Pacific/Honolulu
1612480,"Mokuoloe, HI",21.43305555555556,-157.79,Pacific/Honolulu
1613198,"Kaunakakai Harbor, HI",21.085,-157.032,Pacific/Honolulu
1614465,"Kaumalapau Harbor, Lanai Island, HI",20.79,-156.995,Pacific/Honolulu
1615680,"Kahului, Kahului Harbor, HI",20.89494444444445,-156.469,Pacific/Honolulu
1617433,"Kawaihae, HI",20.0366,-155.8294,Pacific/Honolulu
1617760,"Hilo, Hilo Bay, Kuhio Bay, HI",19.73027777777778,-155.0555555555555,Pacific/Honolulu
1619000,"Johnston Atoll, United States Of America",16.7383,-169.53,Pacific/Honolulu
1619910,"Sand Island, Midway Islands, United States Of America",28.2116667,-177.36,Pacific/Midway
1630000,"Apra Harbor, Guam, United States Of America",13.44338888888889,144.6563611111111,Pacific/Guam
1631428,"Pago Bay, Guam, United States Of America",13.4283333,144.7988888888889,Pacific/Guam
1633227,"Saipan, Gu",15.2267,145.737,Pacific/Saipan
1732417,Fare Ute Point,-17.535,-149.572,Pacific/Tahiti
1770000,"Pago Pago, American Samoa, American Samoa",-14.279999732971191,-170.69000244140625,Pacific/Pago_Pago
1820000,"Kwajalein, Marshall Islands, United States Of America",8.731666564941406,167.7361145019531,Pacific/Kwajalein
1840000,"Chuuk, Moen Island, E. Caroline Islands, Fm",7.44667,151.847,Pacific/Chuuk
1890000,"Wake Island, Pacific Ocean, United States Of America",19.2905556,166.6175,Pacific/Wake
1910000,"Suva, Suva Harbor, Fiji",-18.1333,178.425,Pacific/Fiji
2431000,"Diego Garcia, United Kingdom",-7.29,72.3933,Indian/Chagos
2695535,"Bermuda Biological Station, Bermuda",32.37022399902344,-64.69572448730469,Atlantic/Bermuda
2695540,"Bermuda, St. Georges Island, Bermuda",32.3734016418457,-64.70330047607422,Atlantic/Bermuda
8410140,"Eastport, ME",44.90460968017578,-66.9828872680664,America/New_York
8410714,"Coffin Point, Coffin Neck, ME",44.87,-67.1083,America/New_York
8410715,"Garnet Point, Hersey Neck, ME",44.9233,-67.13,America/New_York
8410834,"Pettegrove Point, Dochet Island, ME",45.12844444444445,-67.14466666666667,America/New_York
8410864,"Gravelly Point, Whiting Bay, ME",44.823299407958984,-67.15170288085938,America/New_York
8411060,"Cutler Farris Wharf, ME",44.656700134277344,-67.20999908447266,America/New_York
8411250,"Cutler Naval Base, ME",44.6417,-67.2967,America/New_York
8412581,"Milbridge, ME",44.54,-67.875,America/New_York
8413320,"Bar Harbor, ME",44.39219444444444,-68.20427777777778,America/New_York
8413801,"Ellsworth, ME",44.535,-68.4217,America/New_York
8413825,"Mackerel Cove, Swans Island, ME",44.16999816894531,-68.43499755859375,America/New_York
8414249,"Oceanville, Deer Isle, ME",44.19230555555556,-68.62093055555556,America/New_York
8414612,"Bangor, ME",44.785,-68.7667,America/New_York
8414684,"Bucksport, ME",44.5717,-68.8017,America/New_York
8414692,"Sandy Point, ME",44.505,-68.805,America/New_York
8414721,"Fort Point, ME",44.4717,-68.8133,America/New_York
8414781,"Winterport, Penobscot River, ME",44.63669967651367,-68.8416976928711,America/New_York
8414856,"North Haven, ME",44.1267,-68.8733,America/New_York
8414888,"Pulpit Harbor, Penobscot Bay, ME",44.1567,-68.8867,America/New_York
8415191,"Belfast, Penobscot Bay, ME",44.4267,-69.005,America/New_York
8415490,"Rockland, ME",44.105,-69.1017,America/New_York
8415709,"Thomaston, ME",44.0717,-69.1817,America/New_York
8416731,"Walpole, Damariscotta River, ME",43.9333,-69.58,America/New_York
8416921,"Wiscasset, ME",44.0,-69.6667,America/New_York
8417134,"Gardiner, ME",44.2333,-69.7667,America/New_York
8417177,"Hunniwell Point, ME",43.755,-69.785,America/New_York
8417208,"Richmond, ME",44.0883,-69.7983,America/New_York
8417227,"Bath, ME",43.925,-69.815,America/New_York
8417821,"Cliff Island, Luckse Sound, ME",43.695,-70.11,America/New_York
8417874,"Doyle Point, Casco Bay, ME",43.7517,-70.14,America/New_York
8417881,"Great Chebeague Island, ME",43.7217,-70.1417,America/New_York
8417941,"Long Island, Casco Bay, ME",43.69,-70.17,America/New_York
8417948,"Prince Point, Yarmouth, ME",43.7617,-70.1733,America/New_York
8417988,"Great Diamond Is., Casco Bay, ME",43.67,-70.2,America/New_York
8417997,"Cushing Island, Casco Bay, ME",43.645,-70.1983,America/New_York
8418009,"Cow Island, Casco Bay, ME",43.69,-70.19,America/New_York
8418015,"Falmouth Foreside, ME",43.7317,-70.205,America/New_York
8418031,"Portland Head Light Station, ME",43.6233,-70.2067,America/New_York
8418150,"Portland, ME",43.65805555555556,-70.24416666666667,America/New_York
8418268,"Fore River, Portland, ME",43.6417,-70.285,America/New_York
8418445,"Pine Point, ME",43.545,-70.3333,America/New_York
8418606,"Camp Ellis, Saco River, ME",43.4617,-70.3817,America/New_York
8418828,"Biddeford, Saco River, ME",43.4917,-70.4467,America/New_York
